"ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","TotalPrkng","MaintFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# of Pets","# or % of Rentals Allowed","Title to Land","Area","Bath Ensuite # Of Pcs","Bath1 #Pcs","Bath1 Ensuite?","Bath1 Level","Bath2 #Pcs","Bath2 Ensuite?","Bath2 Level","Bath3 #Pcs","Bath3 Ensuite?","Bath3 Level","Bath4 #Pcs","Bath4 Ensuite?","Bath4 Level","Bath5 #Pcs","Bath5 Ensuite?","Bath5 Level","Bath6 #Pcs","Bath6 Ensuite?","Bath6 Level","Bath7 #Pcs","Bath7 Ensuite?","Bath7 Level","Bath8 #Pcs","Bath8 Ensuite?","Bath8 Level","Baths Concatenation","Bds In Bsmt","Bds Not In Bsmt","City","Complex/Subdivision Name","Concatenated Rooms","Confirm Sold Date","Cumulative DOM","Cumulative DOMLS","Days On MLS","Dwelling Classification","Entry Date","Entry Date Delay","Expiry Date","Fireplaces","Floor Area - Unfinished","Floor Area Fin - Abv Main","Floor Area Fin - Basement","Floor Area Fin - BLW Main","Floor Area Fin - Main Flr","Floor Area Fin - Total","Full Baths","Full Height","General Date","Geocode Quality","GST Incl","Half Baths","How Sold","Jurisdiction","Land Lease Expiry Year","List Price","Measurement Type","Member Board Affiliation","Municipality","Neighborhood Code","No. Floor Levels","Postal Code","Price Date","Price Per SQFT","Processed Date","Prop Type","Property Disclosure","Province","Region","Restricted Age","Room 1 Dimension 1","Room 1 Dimension 2","Room 1 Level","Room 1 Type","Room 10 Dimension 1","Room 10 Dimension 2","Room 10 Level","Room 10 Type","Room 11 Dimension 1","Room 11 Dimension 2","Room 11 Level","Room 11 Type","Room 12 Dimension 1","Room 12 Dimension 2","Room 12 Level","Room 12 Type","Room 13 Dimension 1","Room 13 Dimension 2","Room 13 Level","Room 13 Type","Room 14 Dimension 1","Room 14 Dimension 2","Room 14 Level","Room 14 Type","Room 15 Dimension 1","Room 15 Dimension 2","Room 15 Level","Room 15 Type","Room 16 Dimension 1","Room 16 Dimension 2","Room 16 Level","Room 16 Type","Room 17 Dimension 1","Room 17 Dimension 2","Room 17 Level","Room 17 Type","Room 18 Dimension 1","Room 18 Dimension 2","Room 18 Level","Room 18 Type","Room 19 Dimension 1","Room 19 Dimension 2","Room 19 Level","Room 19 Type","Room 2 Dimension 1","Room 2 Dimension 2","Room 2 Level","Room 2 Type","Room 20 Dimension 1","Room 20 Dimension 2","Room 20 Level","Room 20 Type","Room 3 Dimension 1","Room 3 Dimension 2","Room 3 Level","Room 3 Type","Room 4 Dimension 1","Room 4 Dimension 2","Room 4 Level","Room 4 Type","Room 5 Dimension 1","Room 5 Dimension 2","Room 5 Level","Room 5 Type","Room 6 Dimension 1","Room 6 Dimension 2","Room 6 Level","Room 6 Type","Room 7 Dimension 1","Room 7 Dimension 2","Room 7 Level","Room 7 Type","Room 8 Dimension 1","Room 8 Dimension 2","Room 8 Level","Room 8 Type","Room 9 Dimension 1","Room 9 Dimension 2","Room 9 Level","Room 9 Type","Room Type Search","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","SP/OLP Ratio","Storeys in Building","Title Search","Tot Units in Strata Plan","Units in Development","Zoning"
"R3029105","P","36 46778 HUDSON ROAD","H74","$665,000","7/23/2025","6","4","3","2,124","2008","17","4","$383.89","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","6","2","Yes","Main","4","Yes","Above","3","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","4","Chilliwack",,"|DINRMMN|LVGRMMN|KITCHMN|BDRMMN|FOYERMN|PANTRABV|RECRMBLW|PBDRMABV|WICLOABV|BDRMABV|WICLOABV|BDRMABV|WICLOABV|UTILBLW|","7/29/2025","17","17","6","Attached","7/23/2025 9:36 AM",,"12/31/2025","1","0","855","0","398","871","2,124","2",,"7/29/2025",,,"1","NOT USED",,,"$674,900","Feet","Fraser Valley Real Estate Board",,,"3","V2R 0K4","8/12/2025","$313.09","8/12/2025","Residential Attached","Yes","BC","Chilliwack",,"10'10","12'6'","Main","Dining Room","9'4'","10'6'","Above","Bedroom","6'8'","5'6'","Above","Walk-In Closet","9'11'","10'11","Above","Bedroom","3'4'","7'0'","Above","Walk-In Closet","3'0'","5'1'","Below","Utility",,,,,,,,,,,,,,,,,,,,,"12'4'","16'11","Main","Living Room",,,,,"10'11","8'4'","Main","Kitchen","15'8'","12'4'","Main","Bedroom","3'10'","7'1'","Main","Foyer","6'2'","2'6'","Above","Pantry","23'2'","13'4'","Below","Recreation Room","14'6'","11'4'","Above","Primary Bedroom","8'8'","8'5'","Above","Walk-In Closet",,"7/29/2025","$665,000",,,,,"No",,,"R5"
"R3015713","C","22 7428 EVANS ROAD","H71","$665,000","6/16/2025","53","3","3","1,732","2013","12","4","$332.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Countryside Estates","|GREATMN|KITCHMN|PBDRMABV|BDRMABV|BDRMABV|RECRMBLW|",,"53",,,"Attached","6/16/2025 11:04 AM",,"10/16/2025","1","0","686","294","0","752","1,732","2",,"8/8/2025",,,"1",,,,"$665,000",,"Fraser Valley Real Estate Board",,,"3","V2R 0S5","7/18/2025","$383.95",,"Residential Attached","Yes","BC","Chilliwack",,"17'2","15'6","Main","Great Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'4","11'4","Main","Kitchen",,,,,"12'","11'10","Above","Primary Bedroom","9'6","9'8","Above","Bedroom","9'4","9'","Above","Bedroom","21'2","11'3","Below","Recreation Room",,,,,,,,,,,,,,,,,,,,"No",,,"R4"
"R3026536","A","35 46360 VALLEYVIEW ROAD","H74","$669,900","7/14/2025","30","4","4","2,032","1998","27","2","$505.00","Townhouse","PETY, RENY","1","2","100","Freehold Strata","Sardis","3","2","No","Main","3","Yes","Above","4","No","Above","3","No","Below",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack",,"|LVGRMMN|KITCHMN|DINRMMN|PBDRMABV|BDRMABV|BDRMABV|LAUNDABV|BDRMBST|RECRMBST|",,"91",,,"Attached","7/14/2025 12:32 PM",,"12/31/2025","1","0","616","0","616","800","2,032","3",,"7/14/2025",,"No","1",,,,"$669,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 5L7","7/14/2025","$329.68",,"Residential Attached","Yes","BC","Chilliwack",,"15'","13'3","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15'2","9'6","Main","Kitchen",,,,,"9'7","8'3","Main","Dining Room","15'2","13'4","Above","Primary Bedroom","11'7","10'7","Above","Bedroom","11'3","13'2","Above","Bedroom","7'3","5'","Above","Laundry","9'2","13'2","Bsmt","Bedroom","12'6","10'5","Bsmt","Recreation Room",,,,,,,,"Yes",,,"R4"
"R2947235","T","62 6887 SHEFFIELD WAY","H72","$670,000","11/26/2024","170","3","3","1,543","2003","22","4","$300.00","Townhouse","RENR","1","1","100","Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack",,"|FOYERMN|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|BDRMABV|BDRMABV|PBDRMABV|",,"170",,,"Attached","11/27/2024 9:33 AM",,"5/15/2025","1","0","822","0","0","721","1,543","2",,"5/15/2025",,,"1",,,,"$670,000",,"Real Estate Board of Greater Vancouver",,,"2","V2R 5V5","3/27/2025","$434.22",,"Residential Attached","No","BC","Chilliwack",,"15'6","4'11","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10'11","18'","Main","Living Room",,,,,"9'5","10'10","Main","Dining Room","13'1","9'","Main","Kitchen","8'1","4'11","Main","Laundry","9'5","13'11","Above","Bedroom","11'6","12'11","Above","Bedroom","11'6","14'2","Above","Primary Bedroom",,,,,,,,,,,,"Yes","93",,"CD6"
"R3013463","P","15 5837 SAPPERS WAY","H78","$675,000","6/10/2025","15","4","3","1,891","2007","18","2","$459.02","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","0","2","No","Below","4","No","Above","3","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","4","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|PANTRMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|BDRMBLW|","6/25/2025","15","15","15","Attached","6/10/2025 2:06 PM",,"12/9/2025","1","0","756","388","0","747","1,891","2",,"6/25/2025",,,"1","NOT USED",,,"$689,000",,"Fraser Valley Real Estate Board",,,"3","V2R 0G4","7/11/2025","$356.95","7/11/2025","Residential Attached","Yes","BC","Chilliwack",,"15'1","17'9","Main","Living Room","17'9","10'10","Below","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'9","10'9","Main","Dining Room",,,,,"12'","9'6","Main","Kitchen","4'2","5'3","Main","Pantry","12'6","10'9","Above","Primary Bedroom","3'10","5'7","Above","Walk-In Closet","12'3","8'8","Above","Bedroom","12'3","8'10","Above","Bedroom","5'4","4'11","Above","Laundry",,"6/25/2025","$675,000",,,,,"No",,,"R4"
"R3002101","T","35 46360 VALLEYVIEW ROAD","H74","$675,000","5/14/2025","61","4","4","2,032","1998","27","2","$505.19","Townhouse","PETY, RENY","1","2","100","Freehold Strata","Sardis","3","2","No","Main","3","Yes","Above","4","No","Above","3","No","Below",,"No",,,"No",,,"No",,,"No",,,"1","3","Chilliwack",,"|LVGRMMN|KITCHMN|DINRMMN|PBDRMABV|BDRMABV|BDRMABV|LAUNDABV|BDRMBST|RECRMBST|",,"61",,,"Attached","5/15/2025 10:13 AM",,"7/14/2025","1","0","616","0","616","800","2,032","3",,"7/14/2025",,"No","1",,,,"$675,000",,"Chilliwack & District Real Estate Board",,,"3","V2R 5L7","5/13/2025","$332.19",,"Residential Attached","Yes","BC","Chilliwack",,"15'","13'3","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15'2","9'6","Main","Kitchen",,,,,"9'7","8'3","Main","Dining Room","15'2","13'4","Above","Primary Bedroom","11'7","10'7","Above","Bedroom","11'3","13'2","Above","Bedroom","7'3","5'","Above","Laundry","9'2","13'2","Bsmt","Bedroom","12'6","10'5","Bsmt","Recreation Room",,,,,,,,"No",,,"R4"
"R2994448","P","1 7450 HURON STREET","H71","$679,000","4/25/2025","33","3","4","2,475","1994","31","4","$365.00","Townhouse","PETY, RENY","1","2","100","Freehold Strata","Sardis","4","2","No","Main","4","Yes","Abv Main 2","4","No","Abv Main 2","3","No","Bsmt",,"No",,,"No",,,"No",,,"No",,,"1","2","Chilliwack","Las Palmas","|FOYERMN|KITCHMN|LVGRMMN|DINRMMN|FAMRMABV|PBDRMABV|WICLOABV2|BDRMABV2|RECRMBST|BDRMBST|UTILBST|","5/28/2025","33","33","33","Attached","4/25/2025 2:27 PM",,"10/25/2025","1","0","625","600","0","1,250","2,475","3",,"5/28/2025",,,"1","NOT USED",,,"$689,900","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 5K8","6/13/2025","$274.34","6/13/2025","Residential Attached","Yes","BC","Chilliwack",,"13'0","9'4","Main","Foyer",,,,,"13'0","22'8","Bsmt","Recreation Room","12'1","13'4","Bsmt","Bedroom","10'7","4'10","Bsmt","Utility",,,,,,,,,,,,,,,,,,,,,,,,,"11'2","17'5","Main","Kitchen",,,,,"12'5","15'11","Main","Living Room","10'11","10'2","Main","Dining Room",,,,,"16'6","19'7","Above","Family Room","13'0","16'0","Above","Primary Bedroom","7'5","7'9","Abv Main 2","Walk-In Closet","10'7","9'6","Abv Main 2","Bedroom",,"5/28/2025","$679,000",,,,,"No",,,"R4-A"
"R2976636","C","70 6026 LINDEMAN STREET","H74","$679,000","3/12/2025","140","3","3","1,299","2017","8","3","$320.00","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","4","2","No","Main","4","Yes","Above","4","No","Abv Main 2",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack",,"|LVGRMMN|KITCHMN|DINRMMN|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|FOYERBLW|",,"140",,,"Attached","3/12/2025 8:30 AM",,"9/12/2025","1","0","646","0","95","558","1,299","2",,"7/30/2025",,"Yes","1",,,,"$679,000","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 0W1","3/11/2025","$522.71",,"Residential Attached","Yes","BC","Chilliwack",,"16'0","11'5","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12'5","9'0","Main","Kitchen",,,,,"11'4","9'0","Main","Dining Room","13'9","11'4","Above","Primary Bedroom","8'6","13'0","Above","Bedroom","8'2","9'0","Above","Bedroom","7'0","5'0","Above","Walk-In Closet","10'0","5'0","Below","Foyer",,,,,,,,,,,,"No",,,"R4"
"R2988903","X","122 6026 LINDEMAN STREET","H74","$679,900","4/10/2025","113","2","3","1,674","2018","7","3","$320.00","Townhouse","PETR","1","2",,"Freehold Strata","Sardis","16","2","No","Main","4","Yes","Below","4","Yes","Below",,,,,,,,,,,,,,,,"|1BATH2|2BATH4|3BATH4|","0","2","Chilliwack","Hillcrest Lane","|FOYERMN|KITCHMN|DINRMMN|LVGRMMN|PBDRMBLW|WICLOBLW|BDRMBLW|LAUNDBLW|",,"113",,,"Attached","4/10/2025 2:03 PM",,"7/31/2025","1","443","0","0","613","618","1,231","2",,"7/31/2025",,,"1",,,,"$679,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 0W1","6/19/2025","$406.15",,"Residential Attached","Yes","BC","Chilliwack",,"7'11","7'4","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'4","9'11","Main","Kitchen",,,,,"11'4","10'7","Main","Dining Room","15'1","13'5","Main","Living Room",,,,,"11'5","9'9","Below","Primary Bedroom","6'9","4'10","Below","Walk-In Closet","12'","9'8","Below","Bedroom","6'3","3'4","Below","Laundry",,,,,,,,"No",,,"R4"
"R3032076","A","7 7360 SUNSHINE DRIVE","H71","$679,900","7/30/2025","14","3","3","1,705","2003","22","4","$480.00","Townhouse","PETR","1",,,"Freehold Strata","Sardis","4","2","No","Main","4","Yes","Above","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Sunshine Place","|KITCHMN|LVGRMMN|DINRMMN|FOYERMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|",,"14",,,"Attached","7/30/2025 10:13 AM",,"1/29/2026","1","0","960","0","0","745","1,705","2",,"7/30/2025",,,"1",,,,"$679,900",,"Fraser Valley Real Estate Board",,,"2","V2R 5V7","7/30/2025","$398.77",,"Residential Attached","Yes","BC","Chilliwack",,"13'7","9'6","Main","Kitchen","5'11","9'2","Above","Laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'11","12'5","Main","Living Room",,,,,"13'7","10'5","Main","Dining Room","6'4","7'6","Main","Foyer",,,,,"16'3","14'","Above","Primary Bedroom","6'5","4'9","Above","Walk-In Closet","10'10","12'","Above","Bedroom","12'","12'8","Above","Bedroom",,,,,,,,"No",,,"R4"
"R3008473","A","94 6026 LINDEMAN STREET","H74","$679,900","5/27/2025","78","3","3","1,272","2017","8","3","$320.00","Townhouse","PETR, RENY","1",,,"Freehold Strata","Sardis","4","2","No","Main",,"No",,,"No",,,"No",,"4","Yes","Above",,"No",,,"No",,,"No",,"9BATH4|9BATH4|9BATH4|9BATH4|","0","3","Chilliwack","Hillcrest","|KITCHMN|DINRMMN|LVGRMMN|PATIOMN|PORCHMN|BDRMABV|BDRMABV|BDRMABV|WICLOABV|FOYERBLW|STOREBLW|",,"78",,,"Attached","5/28/2025 2:11 PM",,"12/31/2025","1","0","645","60","0","567","1,272","2",,"5/27/2025",,,"1",,,,"$679,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 0W1","5/28/2025","$534.51",,"Residential Attached","Yes","BC","Chilliwack",,"15'3","9'0","Main","Kitchen","3'6","4'6","Above","Walk-In Closet",,,,,,,,,"4'3","7'11","Below","Foyer","6'2","11'2","Below","Storage",,,,,,,,,,,,,,,,,,,,,"11'7","11'6","Main","Dining Room",,,,,"15'3","12'3","Main","Living Room","15'3","7'10","Main","Patio","11'8","8'1","Main","Porch (enclosed)",,,,,"13'7","11'2","Above","Bedroom","8'5","12'4","Above","Bedroom","8'5","8'8","Above","Bedroom",,,,,,,,"No","144","144","R4"
"R3033023","A","122 6026 LINDEMAN STREET","H74","$679,900","8/1/2025","12","2","0","1,674","2018","7","3","$320.00","Townhouse","PETR","1",,,"Freehold Strata","Sardis","0",,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","Chilliwack","Hillcrest Lane","|FOYERMN|KITCHMN|DINRMMN|LVGRMMN|PBDRMBLW|WICLOBLW|BDRMBLW|LAUNDBLW|",,"125",,,"Attached","8/1/2025 3:10 PM",,"10/1/2025","1","443","0","0","613","618","1,231","0",,"8/1/2025",,,"0",,,,"$679,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 0W1","8/1/2025","$406.15",,"Residential Attached","Yes","BC","Chilliwack",,"7'11","7'4","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'4","9'11","Main","Kitchen",,,,,"11'4","10'7","Main","Dining Room","15'1","13'5","Main","Living Room",,,,,"11'5","9'9","Below","Primary Bedroom","6'9","4'10","Below","Walk-In Closet","12'","9'8","Below","Bedroom","6'3","3'4","Below","Laundry",,,,,,,,"No",,,"R4"
"R3032842","A","7 46906 RUSSELL ROAD","H74","$679,900","8/1/2025","12","3","3","1,528","2002","23","4","$351.05","Townhouse","PETR, RENY","1","2","100","Freehold Strata","Sardis","3","2","No","Main","3","Yes","Above","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","Russell Heights","|FOYERMN|KITCHMN|LVGRMMN|DINRMMN|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|",,"12",,,"Attached","8/1/2025 11:30 AM",,"11/1/2025","1","0","872","0","0","656","1,528","2",,"8/1/2025",,,"1",,,,"$679,900","Feet","Chilliwack & District Real Estate Board",,,"2","V2R 5T3","8/1/2025","$444.96",,"Residential Attached","Yes","BC","Chilliwack",,"7'5","8'7","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11'0","11'8","Main","Kitchen",,,,,"13'2","16'2","Main","Living Room","9'5","9'1","Main","Dining Room","16'8","16'1","Above","Primary Bedroom","7'10","7'1","Above","Walk-In Closet","11'7","9'9","Above","Bedroom","11'0","10'11","Above","Bedroom","5'6","3'9","Above","Laundry",,,,,,,,"No",,,"CD-7"
"R2995916","T","21 5756 PROMONTORY ROAD","H74","$679,999","4/29/2025","14","3","3","1,616","2014","11","2","$432.68","Townhouse","PETR, RENY","1",,,"Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack","The Ridge","|FOYERBLW|RECRMBLW|KITCHMN|DINRMMN|LVGRMMN|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|",,"36",,,"Attached","4/29/2025 1:46 PM",,"5/13/2025","1","0","640","0","339","637","1,616","2",,"5/13/2025",,,"1",,,,"$679,999",,"Chilliwack & District Real Estate Board",,,"3","V2R 0V8","4/29/2025","$420.79",,"Residential Attached","Yes","BC","Chilliwack",,"4'8","7'10","Below","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'","13'1","Below","Recreation Room",,,,,"13'3","13'3","Main","Kitchen","13'5","8'5","Main","Dining Room","17'2","14'","Main","Living Room","12'","14'","Above","Primary Bedroom","8'5","11'2","Above","Bedroom","8'5","11'1","Above","Bedroom","6'11","4'","Above","Walk-In Closet",,,,,,,,"Yes",,"42","R4"
"R2962349","T","48 6887 SHEFFIELD WAY","H72","$680,000","1/28/2025","107","3","3","1,560","2003","22","4","$300.00","Townhouse","PETN","1","1","100","Freehold Strata","Sardis","3","2","No","Main","4","No","Above","3","Yes","Above",,,,,,,,,,,,,,,,,"0","3","Chilliwack",,"|KITCHMN|DINRMMN|LVGRMMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|WICLOABV|",,"107",,,"Attached","1/31/2025 3:17 PM",,"5/15/2025","1","0","545","0","0","1,015","1,560","2",,"5/15/2025",,,"1",,,,"$680,000",,"Real Estate Board of Greater Vancouver",,,"2","V2R 5V5","3/31/2025","$435.90",,"Residential Attached","No","BC","Chilliwack",,"7'11","12'11","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8'1","10'9","Main","Dining Room",,,,,"14'4","18'6","Main","Living Room","6'11","5'","Main","Laundry","11'7","16'1","Above","Primary Bedroom","14'","11'7","Above","Bedroom","14'","9'6","Above","Bedroom","8'","5'","Above","Walk-In Closet",,,,,,,,,,,,"Yes","93",,"CD6"
"R2995448","F","9 5837 SAPPERS WAY","H78","$680,000","5/1/2025","2","3","3","1,827","2007","18","2","$459.02","Townhouse","PETY, RENY","1","2","100","Freehold Strata","Sardis","6","2","No","Below","3","Yes","Above","4","No","Abv Main 2",,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH3|3BATH4|","0","3","Chilliwack",,"|GREATMN|DINRMMN|KITCHMN|PBDRMABV|BDRMABV|BDRMABV|RECRMBLW|","5/3/2025","2","2","2","Attached","5/1/2025 8:38 AM",,"11/1/2025","1","0","708","0","420","699","1,827","2",,"5/3/2025",,,"1","NOT USED",,,"$679,900",,"Chilliwack & District Real Estate Board",,,"3","V2R 0G4","5/15/2025","$372.19","5/15/2025","Residential Attached","Yes","BC","Chilliwack",,"18'4","13'2","Main","Great Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18'4","13'","Main","Dining Room",,,,,"12'6","9'","Main","Kitchen","13'","12'6","Above","Primary Bedroom","12'","9'","Above","Bedroom","12'","9'","Above","Bedroom","15'","13'2","Below","Recreation Room",,,,,,,,,,"5/3/2025","$680,000","$372.19","1.00","1.00",,"No",,,"R4"
"R2991235","F","27 6450 BLACKWOOD LANE","H73","$685,000","4/22/2025","31","4","3","2,370","2006","19","4","$498.65","Townhouse","PETY, RENY","1","2",,"Freehold Strata","Sardis","6","2","No","Main","3","Yes","Above","4","No","Above",,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH2|2BATH3|3BATH4|","0","4","Chilliwack","The Maples","|FOYERMN|LVGRMMN|DINRMMN|KITCHMN|LAUNDMN|PBDRMABV|BDRMABV|BDRMABV|BDRMBLW|RECRMBLW|UTILBLW|PATIOMN|","5/23/2025","31","31","31","Attached","4/22/2025 8:48 AM",,"10/22/2025","1","0","942","0","715","713","2,370","2",,"5/23/2025",,,"1","NOT USED",,,"$699,900",,"Fraser Valley Real Estate Board",,,"3","V2R 5Z3","6/13/2025","$289.03","6/13/2025","Residential Attached","Yes","BC","Chilliwack",,"14'9","5'1","Main","Foyer","18'3","12'5","Below","Recreation Room","19'10","5'1","Below","Utility","14'1","12'11","Main","Patio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10'10","18'5","Main","Living Room",,,,,"9'5","10'7","Main","Dining Room","12'10","8'11","Main","Kitchen","7'11","5'","Main","Laundry","11'7","13'10","Above","Primary Bedroom","13'2","11'10","Above","Bedroom","13'3","11'10","Above","Bedroom","10'8","12'5","Below","Bedroom",,"5/23/2025","$685,000","$289.03","0.98","0.95",,"No",,"46","R4"
"R3012895","T","41 5837 SAPPERS WAY","H78","$686,900","6/9/2025","64","3","3","1,979","2007","18","2","$514.65","Townhouse","PETY, RENY","1","2","100","Freehold Strata","Sardis","3","4","No","Above","3","Yes","Above","4","No","Below",,"No",,,"No",,,"No",,,"No",,,"No",,,"0","3","Chilliwack",,"|KITCHMN|LVGRMMN|DINRMMN|RECRMBLW|FOYERBLW|PBDRMABV|WICLOABV|BDRMABV|BDRMABV|LAUNDABV|",,"96",,,"Attached","6/9/2025 10:51 AM",,"8/12/2025","1","0","745","0","481","753","1,979","3",,"8/12/2025",,,"0",,,,"$686,900","Feet","Chilliwack & District Real Estate Board",,,"3","V2R 0G4","6/9/2025","$347.09",,"Residential Attached","Yes","BC","Chilliwack",,"15'3","12'2","Main","Kitchen","8'5","4'11","Above","Laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19'2","15'1","Main","Living Room",,,,,"19'2","11'9","Main","Dining Room","19'1","14'6","Below","Recreation Room","7'7","6'9","Below","Foyer","13'7","12'10","Above","Primary Bedroom","6'","4'4","Above","Walk-In Closet","12'1","9'2","Above","Bedroom","11'4","9'10","Above","Bedroom",,,,,,,"3","No",,,"R4"
"R3011406","A","6 6887 SHEFFIELD WAY","H72","$689,000","6/2/2025","72","3","3","1,598","2003","22","2","$300.00","Townhouse","PETR","1","1",,"Freehold Strata","Sardis","3","3","Yes","Main","2","No","Main",,"No",,,"No",,"3","No","Above",,"No",,,"No",,,"No",,,"0","3","Chilliwack","PARKSFIELD","|LVGRMMN|DINRMMN|KITCHMN|OFFICMN|PBDRMMN|BDRMABV|BDRMABV|STUDYABV|",,"101",,,"Attached","6/4/2025 2:14 PM",,"11/29/2025","1","0","562","0","0","1,036","1,598","2",,"6/2/2025",,,"1",,,,"$689,000","Feet","Fraser Valley Real Estate Board",,,"2","V2R 5V5","7/14/2025","$431.16",,"Residential Attached","Yes","BC","Chilliwack",,"12'9","14'4","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8'7","9'5","Main","Dining Room",,,,,"8'7","9'4","Main","Kitchen","10'8","8'11","Main","Office","21'4","12'4","Main","Primary Bedroom",,,,,"16'3","12'4","Above","Bedroom","13'9","12'4","Above","Bedroom","4'5","3'5","Above","Study",,,,,,,,"No",,"93","CD-7"
"R3032258","A","8 7450 HURON STREET","H71","$689,000","7/30/2025","14","2","3","2,514","1997","28","4","$362.00","Townhouse","PETY, RENR","1",,,"Freehold Strata","Sardis","7","2","No","Main","3","Yes","Abv Main 2","4","Yes","Abv Main 2",,,,,,,,,,,,,,,,,"0","2","Chilliwack","Las Palmas","|LVGRMMN|KITCHMN|DINRMMN|FOYERMN|FAMRMABV|PBDRMABV2|WICLOABV2|BDRMABV2|RECRMBLW|WINEBLW|UTILBLW|STOREBLW|",,"14",,,"Attached","7/30/2025 3:04 PM",,"1/30/2026","1","0","319","0","729","755","2,514","2",,"7/30/2025",,,"1",,,,"$689,000",,"Fraser Valley Real Estate Board",,,"4","V2R 5K8","7/30/2025","$274.07",,"Residential Attached","Yes","BC","Chilliwack",,"13'9","12'4","Main","Living Room","19'2","11'4","Below","Wine Room","8'11","5'3","Below","Utility","9'4","6'7","Below","Storage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16'1","11'3","Main","Kitchen",,,,,"14'7","11'7","Main","Dining Room","9'2","6'11","Main","Foyer","16'10","15'4","Above","Family Room","17'5","14'8","Abv Main 2","Primary Bedroom","9'4","6'","Abv Main 2","Walk-In Closet","11'4","10'11","Abv Main 2","Bedroom","24'8","14'1","Below","Recreation Room",,,,,,,,"No","15",,"R4-A"
